Company Name,Industry,Symbol,Series,ISIN Code
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,ENERGY,AEGISCHEM,EQ,INE208C01025
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01020
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Capital First Ltd.,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Cox & Kings Ltd.,SERVICES,COX&KINGS,EQ,INE008I01026
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033
Dena Bank,FINANCIAL SERVICES,DENABANK,EQ,INE077A01010
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,EQ,INE220J01025
Future Lifestyle Fashions Ltd.,CONSUMER GOODS,FLFL,EQ,INE452O01016
Gateway Distriparks Ltd.,SERVICES,GDL,EQ,INE852F01015
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,EQ,INE049A01027
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,EQ,INE549A01026
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,EQ,INE191I01012
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
ITI Ltd.,TELECOM,ITI,EQ,INE248A01017
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
India Tourism Development Corporation Ltd.,SERVICES,ITDC,EQ,INE353K01014
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,EQ,INE274G01010
Indo Count Industries Ltd.,TEXTILES,ICIL,EQ,INE483B01026
Infibeam Incorporation Ltd.,IT,INFIBEAM,EQ,INE483S01020
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,EQ,INE066P01011
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,EQ,INE786A01032
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
Jet Airways (India) Ltd.,SERVICES,JETAIRWAYS,EQ,INE802G01018
Justdial Ltd.,IT,JUSTDIAL,EQ,INE599M01018
Kalpataru Power Transmission Ltd.,ENERGY,KALPATPOWR,EQ,INE220B01022
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022
Kwality Ltd.,CONSUMER GOODS,KWALITY,EQ,INE775B01025
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,EQ,INE269B01029
Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,LAKSHVILAS,EQ,INE694C01018
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01010
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
Manpasand Beverages Ltd.,CONSUMER GOODS,MANPASAND,EQ,INE122R01018
Monsanto India Ltd.,FERTILISERS & PESTICIDES,MONSANTO,EQ,INE274B01011
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
NIIT Technologies Ltd.,IT,NIITTECH,EQ,INE591G01017
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,EQ,INE870D01012
Navkar Corporation Ltd.,SERVICES,NAVKARCORP,EQ,INE278M01019
Omaxe Ltd.,CONSTRUCTION,OMAXE,EQ,INE800H01010
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,EQ,INE195J01029
PTC India Ltd.,ENERGY,PTC,EQ,INE877F01012
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013
Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Reliance Naval and Engineering Ltd.,INDUSTRIAL MANUFACTURING,RNAVAL,EQ,INE542F01012
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015
Rupa & Company Ltd.,TEXTILES,RUPA,EQ,INE895B01021
S H Kelkar and Company Ltd.,CONSUMER GOODS,SHK,EQ,INE500L01026
SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,SREINFRA,EQ,INE872A01014
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,EQ,INE839M01018
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
Sterlite Technologies Ltd.,TELECOM,STRTECH,EQ,INE089C01029
Swan Energy Ltd.,TEXTILES,SWANENERGY,EQ,INE665A01038
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013
Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01014
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010
Va Tech Wabag Ltd.,SERVICES,WABAG,EQ,INE956G01038
