Company Name,Industry,Symbol,Series,ISIN Code
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Castrol India Ltd.,ENERGY,CASTROLIND,EQ,INE172A01027
Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS,CENTURYTEX,EQ,INE055A01016
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01016
Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,DHFL,EQ,INE202B01012
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
IDFC Bank Ltd.,FINANCIAL SERVICES,IDFCBANK,EQ,INE092T01019
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Indraprastha Gas Ltd.,ENERGY,IGL,EQ,INE203G01027
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Mangalore Refinery & Petrochemicals Ltd.,ENERGY,MRPL,EQ,INE103A01014
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
PC Jeweller Ltd.,CONSUMER GOODS,PCJEWELLER,EQ,INE785M01013
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033
SRF Ltd.,TEXTILES,SRF,EQ,INE647A01010
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Global Beverages Ltd.,CONSUMER GOODS,TATAGLOBAL,EQ,INE192A01025
Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
Voltas Ltd.,CONSTRUCTION,VOLTAS,EQ,INE226A01021
